log_nH,log_U,OIII_Hb,NII_Ha,SII_Ha
1.8888888888888888,-2.0,0.9948691636736788,1.6116310160427807,4.01403743315508
1.8888888888888888,-1.666666666666667,0.962802231866088,1.8482758620689657,5.0439655172413795
1.8888888888888888,-1.3333333333333335,0.9225352112676056,2.24,6.950303030303031
1.8888888888888888,-1.0,0.8547189819724286,3.138775510204082,11.526530612244898
2.333333333333333,-4.0,1.745159453302961,1.2712696335078533,2.5965314136125652
2.333333333333333,-3.6666666666666665,1.5939565627950898,1.2648787656135194,2.645848640705364
2.333333333333333,-3.3333333333333335,1.408579465541491,1.2609786700125472,2.7298201589293183
2.333333333333333,-3.0,1.2303706656038262,1.291200777831794,2.9052017501215364
2.333333333333333,-2.666666666666667,1.0914942528735634,1.3847939640162508,3.2333139872315724
2.333333333333333,-2.3333333333333335,0.9951086956521739,1.556515478761699,3.8041756659467243
2.333333333333333,-2.0,0.9215946843853822,1.8338081671415005,4.823361823361824
2.333333333333333,-1.666666666666667,0.846022241231822,2.3333333333333335,6.875871687587169
2.333333333333333,-1.3333333333333335,0.7266187050359713,3.638743455497382,12.620418848167539
2.333333333333333,-1.0,0.45090180360721444,23.382978723404253,100.97872340425533
2.7777777777777777,-4.0,1.803780964797914,1.276310753922694,2.6482969766551854
2.7777777777777777,-3.6666666666666665,1.6397220190197512,1.274561403508772,2.7271929824561405
2.7777777777777777,-3.3333333333333335,1.4373177842565599,1.2808008213552362,2.8634496919917862
2.7777777777777777,-3.0,1.2333010648596323,1.3312693498452013,3.1306501547987615
2.7777777777777777,-2.666666666666667,1.0577700751010977,1.4746291959406714,3.6432474629195943
2.7777777777777777,-2.3333333333333335,0.912670007158196,1.7653276955602537,4.63953488372093
2.7777777777777777,-2.0,0.7702448210922787,2.369885433715221,6.859247135842881
2.7777777777777777,-1.666666666666667,0.5661157024793388,4.381818181818182,14.734545454545453
2.7777777777777777,-1.3333333333333335,0.058823529411764705,-15.766666666666666,-65.93333333333334
2.7777777777777777,-1.0,-6.3508771929824555,-1.7848101265822782,-9.873417721518988
3.2222222222222223,-4.0,1.8834285714285715,1.2859116022099448,2.7638121546961325
3.2222222222222223,-3.6666666666666665,1.705497382198953,1.2925502990755844,2.90320826536161
3.2222222222222223,-3.3333333333333335,1.481103166496425,1.3158593231585933,3.143994691439947
3.2222222222222223,-3.0,1.2370689655172413,1.4075021312872975,3.6180733162830347
3.2222222222222223,-2.666666666666667,1.0015515903801397,1.66507747318236,4.613825983313469
3.2222222222222223,-2.3333333333333335,0.7602094240837697,2.343873517786561,7.122529644268774
3.2222222222222223,-2.0,0.42096774193548386,5.735294117647058,20.082352941176467
3.2222222222222223,-1.666666666666667,-0.5352112676056339,-4.53012048192771,-19.801204819277107
3.2222222222222223,-1.3333333333333335,10.666666666666668,-1.0758483033932136,-6.407185628742515
3.2222222222222223,-1.0,2.4233766233766234,-0.4808612440191388,-3.8074162679425836
3.6666666666666665,-4.0,2.006874427131072,1.3167630057803468,3.046242774566474
3.6666666666666665,-3.6666666666666665,1.814054054054054,1.3388134381701216,3.31951393852752
3.6666666666666665,-3.3333333333333335,1.5567282321899736,1.397748592870544,3.8245778611632266
3.6666666666666665,-3.0,1.2521150592216583,1.5948158253751705,4.923601637107776
3.6666666666666665,-2.666666666666667,0.902122641509434,2.3132832080200503,8.152882205513784
3.6666666666666665,-2.3333333333333335,0.38910505836575876,11.046153846153846,46.12307692307692
3.6666666666666665,-2.0,-1.50561797752809,-1.915129151291513,-10.398523985239851
3.6666666666666665,-1.666666666666667,4.356687898089172,-0.5304777594728172,-4.456342668863262
3.6666666666666665,-1.3333333333333335,2.1971544715447155,-0.1792152704135737,-2.8069989395546133
